scope_type,scope_value,scope_label,template_name,template_label,model_id,model_label,rank_position,probability
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.891
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,2,0.891
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.109
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,3,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.004
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.996
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,0.996
dataset,arc_challenge,ARC-Challenge,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.004
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,1,0.008
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.992
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,2,0.988
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.008
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.004
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,3,0.004
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.996
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,arc_challenge,ARC-Challenge,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,1,0.006
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.994
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,2,0.994
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.006
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,3,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,1.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,arc_challenge,ARC-Challenge,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,1,0.787
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.208
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.005
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,2,0.212
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.738
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.05
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,3,0.001
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.054
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.945
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,hellaswag,HellaSwag,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,1,0.964
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.007
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.029
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,2,0.034
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.573
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.393
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,3,0.002
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.42
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.578
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,hellaswag,HellaSwag,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,1,0.881
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.114
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.005
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,2,0.114
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.823
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.063
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,3,0.005
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.063
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.932
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,hellaswag,HellaSwag,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,1,0.747
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,0.253
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,2,0.253
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.738
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.009
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,3,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.009
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.991
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,hellaswag,HellaSwag,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,1,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,1.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,2,0.945
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.055
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,3,0.055
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.945
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,mmlu,MMLU,minimal_instruction,T1 Minimal,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,1,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,1.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,2,0.825
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.175
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,3,0.175
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.825
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,mmlu,MMLU,benchmark_style,T2 Benchmark,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,1,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,1.0
dataset,mmlu,MMLU,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,2,0.956
dataset,mmlu,MMLU,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.044
dataset,mmlu,MMLU,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,3,0.044
dataset,mmlu,MMLU,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.956
dataset,mmlu,MMLU,natural_style,T3 Natural,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,mmlu,MMLU,natural_style,T3 Natural,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,mmlu,MMLU,natural_style,T3 Natural,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,1,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,1,1.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,1,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,1,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,2,0.868
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,2,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,2,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,2,0.132
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,3,0.132
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,3,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,3,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,3,0.868
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,openai/gpt-4o-mini,GPT-4o-mini,4,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,google/gemini-2.0-flash-001,Gemini-2.0-flash,4,0.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,4,1.0
dataset,mmlu,MMLU,order_phrasing_variation,T4 Order/Phrasing,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,4,0.0
