scope,scope_value,left_model_id,left_model_label,right_model_id,right_model_label,point_diff,ci_low,ci_high,p_value,significant_95
subject,high_school_macroeconomics,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.10000000000000009,-0.21499999999999997,0.015000000000000013,0.104,False
subject,high_school_physics,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.24,-0.38,-0.09999999999999998,0.0,True
subject,high_school_physics,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.12000000000000005,-0.025000000000000022,0.26,0.12,False
subject,high_school_physics,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.0050000000000000044,-0.12,0.13,0.937,False
subject,high_school_physics,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.36000000000000004,0.20999999999999996,0.5,0.0,True
subject,high_school_physics,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.245,0.09500000000000008,0.39000000000000007,0.0,True
subject,high_school_physics,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.11500000000000005,-0.245,0.020000000000000018,0.103,False
subject,international_law,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.030000000000000027,-0.10499999999999998,0.04500000000000004,0.509,False
subject,international_law,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.13,0.02500000000000002,0.245,0.013,True
subject,international_law,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.10999999999999999,-0.010000000000000009,0.235,0.078,False
subject,international_law,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.16000000000000003,0.05499999999999994,0.28,0.003,True
subject,international_law,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.14,0.020000000000000018,0.255,0.025,True
subject,international_law,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.020000000000000018,-0.135,0.09500000000000008,0.747,False
subject,philosophy,openai/gpt-4o-mini,GPT-4o-mini,google/gemini-2.0-flash-001,Gemini-2.0-flash,-0.08000000000000007,-0.17000000000000004,0.010000000000000009,0.087,False
subject,philosophy,openai/gpt-4o-mini,GPT-4o-mini,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.04499999999999993,-0.030000000000000027,0.13,0.256,False
subject,philosophy,openai/gpt-4o-mini,GPT-4o-mini,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.030000000000000027,-0.12,0.05500000000000005,0.56,False
subject,philosophy,google/gemini-2.0-flash-001,Gemini-2.0-flash,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,0.125,0.040000000000000036,0.21999999999999997,0.005,True
subject,philosophy,google/gemini-2.0-flash-001,Gemini-2.0-flash,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,0.050000000000000044,-0.04500000000000004,0.15000000000000002,0.328,False
subject,philosophy,meta-llama/llama-3.1-8b-instruct,Llama-3.1-8B,qwen/qwen-2.5-7b-instruct,Qwen-2.5-7B,-0.07499999999999996,-0.15000000000000002,-0.010000000000000009,0.017,True
